"Mots";"Occurrence"
"Prioritization";"2"
"Freehand sketch";"1"
"Message logging";"1"
"Use a db";"1"
"PVCS";"1"
"Native support: floppy capacities 3.5""";"1"
"Personal repository";"1"
"Max row size";"1"
"Books sort";"1"
"DMF";"3"
"2006[158]";"1"
"Vertical drop";"1"
"Host platform";"6"
"GL";"1"
"brainpoolP384r1 (27)[151]";"1"
"FIPS 140-2 validation";"1"
"Weight (excluding auxiliary components)";"1"
"HBO Max";"1"
"GZ";"1"
"Caching";"1"
"riscv";"1"
"Statements";"1"
"brainpoolP512r1 (28)[151]";"1"
"Installable from USB";"1"
"HE";"1"
"Character encodings(ao)";"1"
"Supported guest OS drivers";"1"
"ATI official driver x86";"1"
"Expressions and operators";"1"
"HP";"1"
"BZ/BZ2";"1"
"work at OSI Layer 4 (stateful firewall)";"1"
"Size of media (MB)";"1"
"deduplication";"1"
"Book references";"1"
".cbr";"1"
"Annotations";"1"
"Traffic or bandwidth limit";"1"
"Hash algorithms";"3"
"Pitch control?";"1"
"SNMP";"1"
"UPS";"3"
".cbz";"1"
"Hg";"1"
"Triggers / Alerts";"1"
"DOS";"7"
"SYN flood protection";"1"
"Audible";"1"
"ICCCM/EWMH compliant";"1"
"Prior file versions, revision control";"1"
"TLS 1.3";"1"
"Latest release date and version";"2"
"Separation of duties (RBAC)5";"1"
"Developed or used CDE";"1"
"RFC 6578 WebDAV sync";"1"
"Distribution";"13"
"Last Update";"4"
"Information-level permissions";"1"
"CodeMirror";"1"
"MAS";"1"
"<string>.partition(separator) returns the sub-string before the separator; the separator; then the sub-string after the separator.";"1"
"Camera line";"2"
"File compare";"1"
"BD-R/RE DL";"1"
"Encryption protocols";"1"
"API streaming input-output";"1"
"Scripting";"3"
"Frame rate (reverse)";"1"
"Camera Culling";"1"
"Feature / Framework";"1"
"Home Automation";"1"
"Esperanto";"11"
"Find and replace using RegEx";"1"
"Plugins";"1"
"Customizable workflow";"1"
"Release date";"10"
"Case sensitive";"1"
"under 1%";"1"
"Insert audio";"1"
"brainpoolP256r1 (26)[151]";"1"
"USB";"11"
"Effective megapixels";"1"
"USD";"1"
"Netinstall";"1"
"Program animation?";"1"
"gzip";"1"
"RFC 3744 WebDAV ACL";"1"
"Barclaycard MPI";"1"
"Virtualisation";"1"
"Adobe sRGB";"1"
"Weight (tonnes)";"1"
"Type of Client";"1"
"Support DRM";"1"
"ɔŋ";"1"
"x86";"1"
"eBay order import";"1"
"LE";"1"
"MD2";"1"
"navigation views";"1"
"MD4";"1"
"DRM";"1"
"Other paradigm(s)";"1"
"MD5";"1"
"Source code provided";"1"
"Jobs priority";"1"
"CableCARD support";"1"
"Plant Name";"1"
"LX";"1"
"Glossary, tool tip words";"1"
"Cost (US$)";"1"
"Programming languages";"1"
"Latest edition";"3"
"Trigger";"1"
"HP-UX";"5"
"Mandatory access control";"3"
"IPv6 support";"1"
"JPEG Lossless operations";"1"
"secp160r1 (16)[81]";"1"
"Top elevation (feet)";"1"
"Concept";"1"
"Availability";"1"
"MDX";"1"
"Placeshifting/Spaceshifting";"1"
"Ad-Hoc mode";"2"
"MU";"1"
"Symbian OS";"1"
"NetBSD";"3"
"Input grammar notation";"3"
".chm";"2"
"Citation count";"1"
"MZ";"1"
"Authorize.Net AIM";"1"
"NE";"1"
"Graphical toolkit";"1"
"Number of satellites";"1"
"SOCKS";"2"
"Creator(s)";"1"
"USB 3.0";"1"
"File";"1"
"Enyo";"1"
"Installable live CD/DVD";"1"
"Last Stable Version";"1"
"BD-R/RE";"1"
"Transport-layer load balancer";"1"
"ALGOL 68";"1"
"British English";"1"
"Nero CD image";"1"
"IPv6";"13"
"Macintosh";"3"
"IPv4";"1"
"Card reader slot";"2"
"Windows";"59"
"AROS";"1"
"Common Language Object Model";"1"
"Merge joins";"1"
"REST API";"1"
"Darwin";"1"
"RTAS";"1"
"TIFF";"3"
"OB";"1"
"PureOS";"1"
"CD-Text";"1"
"Ireland";"9"
"OF";"1"
"France";"9"
"Ruby";"1"
"Framework";"3"
"SyFy";"1"
"Unicode (UTF-8)";"1"
"Associative array/Object";"2"
"Related publications";"1"
"OBEX";"1"
"OS";"7"
"Resize image";"1"
"Named capture [Note 3]";"1"
"non-standard calendar in date fields";"1"
"State/province";"1"
"Launch date";"1"
"Fonts";"1"
"MIDI(smf)";"1"
"Vendor";"4"
"AV Test[10]";"1"
"Embedded/Integrated Terminal";"1"
"Person who likes";"1"
"CD equivalent";"1"
"UDF (More Info)";"1"
"PE";"1"
"find(string,substring) returns integer";"1"
"HEVC (H.265)";"1"
"Global File System";"1"
"Day-night mode";"1"
"Private chat";"1"
"Windows Phone";"2"
"MPEG-4";"1"
"Library DRM compatible";"2"
"DVR";"3"
"Object orientation";"1"
"PR";"1"
"qooxdoo";"1"
"3D Capabilities";"1"
"MPEG-1";"1"
"MPEG-2";"1"
"Mobility";"1"
"Svelte";"1"
"Includes Functionality to Match Expertise with Funding Opportunities";"1"
"Auto-reconnect";"1"
"handles home-sets";"1"
"Operating systems";"11"
"Auto Ingest?";"1"
"parameter types extracted";"1"
"markItUp!";"1"
"Online dictionary";"1"
"PEF Pentax";"1"
"Standard or Revision";"1"
"Format name";"1"
"MSSQL";"2"
"Restorable with free software[8]";"1"
"Face Recognition";"1"
"Media Foundation";"1"
"Details";"3"
"Chamber pressure (bar)";"2"
"Individual view";"1"
"Vignetting correction";"1"
"Materialized view";"1"
"Integration, IDEs";"1"
"PC link";"1"
"RM";"1"
"ppc64";"1"
"Current Model?";"1"
"RX";"1"
"ReFS";"3"
"Developer/Owner";"1"
"Project portfolio management";"1"
"Fine-grained locking";"1"
"Year Released";"1"
"Color Quality";"1"
"Browser layout engine";"1"
"2001[153]";"1"
"DXi";"1"
"encryption";"2"
"Series nomenclature";"1"
"SY";"1"
"El Torito";"1"
"Flexmonster";"1"
"Spam protection";"1"
"# measures";"1"
"RSEND";"2"
"TF";"1"
"Default Linux kernel";"1"
"Passphrase strengthening";"1"
"MKV";"3"
"JFFS2";"1"
"Inner selects";"1"
"Other";"36"
"Max range";"1"
"MLA";"1"
"Critique";"1"
"TX";"1"
"System 7 (PPC/68k)";"1"
"Supported file systems";"1"
"Public file hosting8";"1"
"Time stretch";"1"
"Photo";"1"
"Comparative";"1"
"Exposure fusion";"1"
"Plugin/API";"1"
"UI";"1"
"Other technical features";"1"
"UK";"10"
"KaiOS";"1"
"Game media";"1"
"OpenUI5";"1"
"Decayed";"1"
"sect239k1 (8)[81]";"1"
"Execute permission";"1"
"US";"1"
"Supported protocol";"1"
"LASH";"1"
"Resume Download";"1"
"Free";"4"
"Web Clipping";"1"
"MMS";"1"
"Personalized intelligent recording and scheduling[f 1]";"1"
"Fullscreen";"1"
"Resource management";"1"
"Date Statistics Updated";"1"
"Presidential candidate";"1"
"Operator";"2"
"QuickTime";"4"
"AccuRev";"2"
"iPod touch/ iPhone FW 3.0";"1"
"iPod touch/ iPhone FW 3.1";"1"
"Filesystems";"1"
"XMIT";"2"
"POP3 selected by user";"1"
"Social bookmarking";"1"
"Sparse files";"1"
"System";"11"
"Choice Point Elimination";"1"
"Netherlands";"9"
"Shell";"7"
"Google Play Music";"1"
"Text highlighting";"1"
"HDR input (EXR, HDR, Logluv, etc.)";"1"
"JavaScript";"1"
"Call/SMS Filtering";"5"
"JDBC";"1"
"Multi Lingual";"1"
"iPod touch/ iPhone support";"1"
"Antenna";"1"
"Magnet URI";"3"
"Adobe Flex built-in charts";"1"
"Linux-based";"1"
"SRW Samsung";"1"
"Restoration platform[7]";"1"
"Yin level 陰平(1)";"1"
"American English";"1"
"MP4";"3"
"MP3";"4"
"Create database";"1"
"HTML+TIME(+VML)";"1"
"List table content";"1"
"secp224r1 NIST P-244 (21)[81]";"1"
"Width (mm)";"1"
"DSSI";"1"
"Authenticated encryption";"1"
"Target system type";"1"
"Broadcatching (RSS)";"1"
"Extents";"1"
"List tables";"2"
"Tarpit";"2"
"Fast extensions";"1"
"BitTorrent";"1"
"Access Control";"2"
"Max CHAR size";"1"
"ŋ̍";"1"
"Synchronizer";"1"
"Extract DRM-Free Music";"1"
"Negated character classes";"1"
"File browser";"1"
"Log";"1"
"SRP-DSS[94]";"1"
"VBR";"2"
"Definition";"21"
"Auto-scroll";"1"
"ɔ̃";"1"
"irc:// URI scheme";"2"
"Widget toolkit";"2"
"ZK";"1"
"BSD Unix";"1"
"Active; Passive [16]";"1"
"Whirlpool";"1"
"Norwegian meaning";"1"
"NAT traversal [Note 2]";"1"
"Door-to-door capable";"2"
"WebDAV Upload";"1"
"Column view";"1"
"Capacity (GB)[1]";"1"
"Transparency";"1"
"RTMP";"1"
"Allowable characters in directory entries[c]";"1"
"Auto dial/hangup";"1"
"CHAT";"2"
"NEF Nikon";"1"
"Year of introduction";"1"
"Video formats supported";"2"
"Runs";"1"
"MRW";"1"
"Programming (plugin) API language(s)";"1"
"Model (Debut year)";"1"
"Multiple vendor support";"1"
"SSL 2.0 (insecure)[30]";"1"
"Color management";"1"
"Extract DRM-Free Videos";"1"
"NAT traversal [Note 5]";"1"
"Gecko";"34"
"Preload Magnet metadata [Note 3]";"1"
"Other objects";"1"
"FTP support";"1"
"TTS support (read aloud)";"1"
"PowerPC SMP";"1"
"Flat-files";"1"
"Self-extracting";"1"
"Switzerland Liechtenstein";"9"
"Total trails";"2"
"feed URI scheme";"1"
"folders on host";"1"
"LCD size";"1"
"PSK-RSA[95]";"1"
"Common Interference";"1"
"Mandatory argument prompt";"1"
"Table of Contents";"1"
"MTV";"1"
"Code review";"1"
".txt";"2"
"HFS+";"2"
"XMPP";"1"
"Hard drive: partition size max";"1"
"Message board";"1"
"sect571r1 NIST B-571 (14)[81]";"1"
"Source available";"1"
"Selective downloads";"2"
"Methods and properties";"1"
"DHE-DSS (forward secrecy)[34]";"1"
"DANE (DNSSEC)[110]";"1"
"SOAP";"1"
"IA-64";"1"
"Stable release date (YYYY-MM-DD)";"1"
"ECMA-376";"3"
"Armament [ammo (rds.)]";"1"
"Jeg ved,";"1"
"Nearest city";"3"
"Non-free firmware required[note 1]";"1"
"DKIM";"1"
"E382 [154]";"1"
"Watch ABC";"1"
"Russia Belarus";"9"
"Bitmap";"1"
"EFS";"1"
"Skrill";"1"
"Download Podcasts";"1"
"Document comparison";"1"
"Customize text alignment";"2"
"Menu for inserting symbols";"1"
"Lua";"2"
"Perspectives";"1"
"Memory requirements (GB)";"1"
"CommonCrypto";"1"
"Program status";"1"
"Avg annual snowfall (in)";"1"
"Operating system(s)";"2"
"Amount (TBq)";"1"
"Agentless";"1"
"Apache Royale";"1"
"USB support";"4"
"File Transfer";"1"
"SOCT";"1"
"DNG Adobe";"1"
"CPUs";"1"
"Modularity: supports third-party modules to extend functionality?";"1"
"ISO 9660";"6"
"Disable memory execution support";"1"
"Ubuntu Touch";"17"
"Site map, XML";"1"
"ADC client";"4"
"Denmark";"9"
"MXF";"2"
"Shards";"1"
"Last archive timestamps";"1"
"Integrity";"2"
"Schema-IDL?";"1"
"Store";"2"
"replace(string, find, replace) returns string";"1"
"Swedish";"3"
"Data Compression";"1"
"Weight (g)[2]";"1"
"iTunes (Apple TV)";"1"
"SQL support";"1"
"Sync7";"1"
"USB host";"1"
"Graphical installation process";"1"
"Nvidia official driver IA-32";"1"
"RSS 1.0 Feeds";"1"
"Secure Key Management3[1]";"1"
"High court seats";"1"
"Motor";"1"
"Images";"2"
"ai";"1"
"SFTP";"3"
"ak";"1"
"Minimum child age (front seat)";"1"
"am";"1"
"mips[116]";"1"
"ap";"1"
"White (VCD/SVCD)";"1"
"MIDI(xmf)";"1"
"GOST R 34.10-94, 34.10-2001[82]";"1"
"Generation";"1"
"Camera model";"6"
"Rotate & move";"1"
"at";"1"
"au";"1"
"Windows XP";"1"
"Graphical user interface";"1"
"First public release date (YYYY-MM-DD)";"1"
"RTSP";"1"
"IRIX";"2"
"Round Robin";"1"
"compression";"1"
"HSBC API";"1"
"Code refactoring";"1"
"In-line comment";"1"
"ArchitectureOCS";"1"
"Atmos- pheric reentry";"1"
"Tag folding";"1"
"SRP-RSA[94]";"1"
"Broad-catching (RSS)";"1"
"Maker";"3"
"Multi-attribute Hierarchies";"1"
"Amazon Video";"1"
"Code Name";"6"
"secp160r2 (17)[81]";"1"
"Image resize";"1"
"Scheduling";"2"
"Automatic updates";"2"
"Publisher";"3"
"PCMCIA/PC card";"1"
"Source code";"1"
"Orthogonal line detection";"1"
"First published";"3"
"MPEG-4 ASP (MPEG-4 Part 2), i.e. DivX, XviD";"1"
"Defender";"1"
"Scottish Gaelic";"3"
"Reflective";"1"
"Syntax";"6"
"File format";"2"
"Place";"1"
"ELF";"1"
"TI Professional";"1"
"de";"2"
"Tracker";"2"
"Running mate";"1"
"Generalized linear model";"1"
"Speed limit on motorway (km/h)";"1"
"Fields and initialization";"1"
"GIS Capabilities";"1"
"Google Checkout";"1"
"Dataset Name";"36"
"eReader[h 1]";"1"
"Version";"17"
"dz";"1"
"Ethernet MAC source address";"1"
"$/MB plan4";"1"
"Multipolygon";"1"
"FIFA";"2"
"Preprocessing";"37"
"DVD+R/RW DL";"1"
"em";"2"
"Raster shapes";"1"
"VOB";"2"
"GUI builder";"10"
"Yin entering 陰入(4)";"1"
"Latest release[nb 3]";"1"
"Customize spacing: line/paragraph";"1"
"CRL[108]";"1"
"Other Unix";"2"
"POP before SMTP";"1"
"Italy";"9"
"RFC 2616 HTTP/1.1";"1"
"VP9";"1"
"VP8";"1"
"Arithmetic";"1"
"MDK-Editor";"1"
"Internal storage";"1"
"OpenDocument support";"1"
"Screen model";"1"
"OSF/1";"2"
"Misc.";"1"
"MOS/sync";"2"
"Anaerobic digestion";"1"
"Manual pings-pongs";"1"
"sect571k1 NIST K-571 (13)[81]";"1"
"Platform[4]";"3"
"Budget (in millions of US $)";"1"
"Session Ticket [177]";"1"
"UDP tracker";"2"
"Integrated browser";"1"
"Spaceplane";"1"
"aĩ";"1"
"Process substitution";"1"
"Hard real-time support";"1"
"Arbitrary sections";"1"
"Metadata edit";"1"
"Embedded Antispam";"1"
"Use database";"1"
"Nvidia official driver IA-64";"1"
"Can Target:";"1"
"s390";"1"
"Spell checking";"1"
"Original/Primary developer";"4"
"Flight";"1"
"Public chat";"1"
"EPS";"2"
"M221 Curve2213 [154]";"1"
"Initial Release";"1"
"Cache[Note 4]";"1"
"Interoperability with External Systems";"1"
"Function 1";"1"
"Autoscroll by pixel";"1"
"Reproducible builds";"1"
"Authorize.Net SIM";"1"
"RTM build";"3"
"Dimensions (HxWxD)";"1"
"Android[43]";"1"
"Frames";"1"
"Drawing atop text [unclear]";"1"
"Other formats";"1"
"Civic association";"1"
"lower risk";"1"
"FTP over SSH";"1"
"RFC 7540 HTTP/2";"1"
"Desktop publishing software";"5"
"WebKit";"34"
"DCCP";"1"
"VST";"1"
"(kg)";"1"
"inside AutoCAD application available";"1"
"Application";"12"
"String processing";"1"
"Thrust";"1"
"Downloading headers XOVER";"1"
"Block suballocation";"1"
"Windows NT";"3"
"ERP";"1"
"Scheduler";"2"
"Embedded annotation support";"1"
"Darcs";"2"
"Upload";"2"
"Quotes";"1"
"Other platforms";"16"
"GNU/Linux";"1"
"MINIXfs";"1"
"Floating point";"2"
"Initial MSRP (nominal US$)[1]";"1"
"Maximum pathname length";"1"
"Morrow";"1"
"Structure";"2"
"Surround";"1"
"Pop-up";"1"
"Use";"2"
"ATI r200 free software driver";"1"
"F4V";"3"
"Membership-only products";"1"
"Specification";"1"
"kv";"1"
"Source surety";"1"
"Atom";"4"
"Standard Malay (Malaysian)";"3"
"Extra information";"1"
"Application and developer";"1"
"Storage size";"1"
"Load Balancing and Clustering";"1"
"flat binaries (superH)";"1"
"USB Ports";"1"
"Unix";"14"
"Sort books";"1"
"Sublicensing";"1"
"Paradigm";"1"
"cache decoded images";"1"
"OCFS";"1"
"Dutch meaning";"1"
"Model name";"1"
"External hardware";"2"
"Native support: long file names";"1"
"Image library";"1"
"Real";"1"
"NFS";"4"
"Date statistics updated";"2"
"Trust on First Use (TOFU)";"1"
"Crew";"1"
"Memory slots";"1"
"ser ud.";"1"
"Unicode property support [3]";"1"
"Updated";"1"
"multiple type document";"1"
"UTF-8";"2"
"Default script shell in";"1"
"Different focal lengths in single panorama";"1"
"Range";"2"
"Developer(s)";"3"
"Certification";"1"
"OpenSaaS";"1"
"EEPROM";"1"
"Achievements";"1"
"Contents table";"1"
"Browse remote repository";"1"
"Except";"1"
"EVP";"1"
"Pattern matching (regular expressions built-in)";"1"
"EVO";"3"
".umd";"1"
"Grammar, code";"4"
"Fixed drives";"1"
"Multiplayer";"1"
"<string>.rpartition(separator) Searches for the separator from right-to-left within the string then returns the sub-string before the separator; the separator; then the sub-string after the separator.";"1"
"FLV[α]";"1"
"EWS";"1"
"First release date";"4"
"Curve41417 Curve3617 [154]";"1"
"ia64";"1"
"BNEP";"1"
"Reports";"1"
"Network File client";"1"
"Offline processing";"1"
"WebDAV ACL editor";"1"
"DVR recording";"1"
"VOICE";"1"
"iOS1";"1"
"WebDAV";"1"
"Preposition + definite article (Portuguese)";"1"
"Panels/pad[nb 4]";"1"
"Template engine";"1"
"Reverse";"1"
"Test planning integration";"1"
"Simulate real page flip";"1"
"Arrays and Collections";"1"
"Software type";"2"
"Composite (Range+Hash)";"1"
"Trident";"34"
"Chuck Baldwin";"1"
"Graphical configuration";"1"
"File extension(s)[1]";"4"
"Smartphone/tablet playback";"1"
"Static program analysis";"1"
"Custom Tag Fields";"1"
"USB peripherals";"1"
"Exports";"1"
"Adopters";"1"
"Video memory";"1"
"Fish eye lenses";"1"
"BSD/OS";"1"
"Maximum per-file size";"1"
"RDCC";"2"
"Adaptive Tessellation";"1"
"Retouching";"1"
"bridge";"1"
"alpha[117]";"1"
"(som) du snakker om,";"1"
"Predecessor";"2"
"Bluetooth";"2"
"Role-level permissions";"1"
"Refs";"1"
"Output Formats";"1"
"NLM";"1"
"Package format/tools";"1"
"Maintainer";"3"
"Security/ MAC labels";"1"
"Can keep RTC in UT[2]";"1"
"aʔ";"1"
"Party";"1"
"Display Size";"1"
"sh";"1"
"Synergy";"1"
".doc";"1"
"Patch access3";"1"
"Platform requirements";"1"
"Communication";"1"
"OS family";"1"
"Monotone";"1"
"Self-lit";"2"
"Windows Hello";"1"
"Openfire";"2"
"Ext2";"1"
"Ext3";"1"
"Original author/s";"1"
"Positive";"1"
"CardDAV";"2"
"Source control";"1"
"Dutch";"3"
"Wakanda";"1"
"TCP/UDP source port(s)";"1"
"ts";"1"
"Languages Supported";"1"
"File extension";"2"
"Settings Import/ Export";"1"
"Pulldown";"1"
"List price (USD)";"1"
"Two-factor";"1"
"Attachment [unclear]";"1"
"Templates";"1"
"Ethernet MAC destination address";"1"
"ua";"1"
"Clipboard Transfer";"1"
"Detect move";"2"
"DirectShow";"1"
"Name";"129"
"File servers (FSERVs)";"2"
"ue";"1"
"Crop";"1"
"3D Tracking";"1"
"Can:";"2"
"Live memory allocation";"1"
"FAT16, dosfs; FAT32, vfat";"1"
"Sync";"1"
"nŋ";"1"
"Weight (g)";"1"
"Smurf attack protection";"1"
"ZMODEM transfers";"1"
"Developed by";"4"
"Site map, viewable";"1"
"Audio file/cue";"1"
"Ogg[b]";"3"
"Color management for print";"1"
"Approximate number of source packages";"1"
"Delete element";"1"
"iOS App";"1"
"Composting";"1"
"Customize line space";"1"
"Vertical drop (ft)";"1"
"Software Name";"2"
"Affiliates";"1"
"Computer algebra system";"1"
"jabberd2";"2"
"Binary";"1"
"Whole OS Loads to RAM (Default)";"1"
"WAF";"1"
"Instansing";"1"
"Native interoperability";"1"
"MKV[70]";"1"
"Image viewer";"1"
"Styles (bold/italic/etc.)";"1"
"Boolean true";"1"
"Office Open XML";"1"
"Twitter";"1"
"OS/2, eCS, ArcaOS";"1"
"Customize font scale";"1"
"Keyboard mapping";"1"
"Isode M-Link";"1"
"WAV";"3"
"Measurement time, seconds";"1"
"ID3v2";"1"
"Database Name";"1"
"iPod touch/iPhone FW 4.0.2";"1"
"CalDAV";"1"
"Prenu ĉiujn tiujn, kiujn vi volos, kaj lasu ĉiujn tiujn, kiuj ne plaĉos al vi.";"1"
"Downloadable attachments";"1"
"ID3v1";"1"
"MariaDB versions";"1"
"Type system";"2"
"Implementation: language, environment";"1"
"Operating system-level virtualization";"1"
"Guest OS SMP available";"1"
"Latin version";"1"
"Web radio/TV";"1"
"Group priority";"1"
"YouTube Downloader";"3"
"Offline dictionary";"1"
"Inserting";"1"
"Atari";"1"
"Integer";"3"
"Fiction- Book (fb2)";"1"
"Descendant charts";"1"
"FAT";"1"
"Autoscroll by page";"1"
"Kindle[h 1]";"1"
"xz";"1"
"Latest release version";"1"
"Hardware token support";"1"
"Cynthia McKinney";"1"
"WCS";"1"
"Heuristics";"3"
"Temporary table";"1"
"HOLAP";"1"
"OCSP";"2"
"OLED";"1"
"2014[166]";"1"
"Compare";"1"
"Raster graphics editor";"1"
"Created (updated)";"37"
"Micro SDHC";"1"
"Hotkeys";"1"
"NSF";"1"
"installer/ updater MIMA safe";"1"
"DxO ISO[1]";"1"
"Memory (MB)[1]";"1"
"Bulletins to all contacts";"1"
"Card";"1"
"NSS";"1"
"Web Client";"1"
"Prosody";"2"
"Daylight saving";"1"
"μTP";"2"
"Real Time";"1"
"Maximum host disk volume size";"1"
"Browser";"1"
"WEP";"2"
"OLE DB for OLAP";"1"
"German";"2"
"Imports";"1"
"Branch Sizes";"1"
"Processors Supported";"8"
"Hard drive self-testing";"1"
"FISH/SSH";"1"
"HTML 5*";"1"
"Web server";"1"
"# hierarchies in dimension";"1"
"File/directory passwords";"1"
"Design Authority";"1"
"Copac";"1"
"USB Card[nb 8]";"1"
"WFS";"2"
"Secure (password) prompt";"1"
"NUT";"1"
"Other Features";"2"
"Amiga rock ridge";"1"
"FES";"1"
"Customer testimonials";"1"
"Supported OSs";"1"
"Model";"23"
"Online";"3"
"Failsafe I/O";"1"
"Latest stable version (date, number)";"1"
"Filter according to User Authorization";"1"
"string1 OP string2 OR (compare string1 string2) returns Boolean.";"1"
"Company";"11"
"Max supported file size";"1"
"Intro- duced";"1"
"Max DATE value";"1"
"Source language";"1"
"iCalendar";"1"
"FreeVxFS";"1"
"Boolean false";"1"
"API message-based";"1"
"DEFLATE[171] (insecure)";"1"
"Patch preview";"1"
"Stable release date";"1"
"Range, μSv/h";"1"
"Ch. Bandwidth (KHz)";"1"
"Emails";"1"
"Malaysian meaning";"1"
"Broadband eBook (BBeB)[h 1]";"1"
"z/OS";"6"
"Script";"1"
"Resizing";"3"
"Isotope";"1"
"Free GB (number only)";"1"
"Authoritative";"1"
"Find as you type (Type-ahead find)";"1"
"kʰ";"1"
"Full text search";"1"
"Ground glass";"1"
"Period";"1"
"Multitasking";"1"
"Orion";"1"
"CIFS";"2"
"Internet media type";"1"
"Multiple projects";"1"
"File hosting service";"1"
"Chicago/Turabian";"1"
"Power management";"1"
"Change column";"1"
"Limited MB plan4";"1"
"work at OSI Layer 7 (application inspection)";"1"
"Trending";"1"
"Insert video";"1"
"Bombs[nb 7]";"1"
"Native support: floppy capacities 5.25""";"1"
"Serpent";"1"
"Profiling/Debugging";"1"
"Macro";"1"
"contains(string,substring) returns boolean";"1"
"CPU Sockets";"1"
"Multiple architecture support (also see section below).";"1"
"SLA[4]";"1"
"Web seeding [Note 5]";"1"
"Use on ACT Standardized Tests[3]";"1"
"PostScript";"1"
"ACAP";"1"
"Word processing Software";"1"
"Partitioning";"1"
"VCS Support";"1"
"Rolling blind mode";"1"
"Mail server";"1"
"Intro year";"2"
"tɕʰi";"1"
"Duplicate index prevention";"1"
"Supported operating systems";"1"
"adjust image (functions)";"1"
"Hard links";"1"
"Cache [Note 16]";"1"
"Free software";"3"
"Path completion";"1"
"Live Update";"1"
"HPFS";"4"
"Variable-length look-behinds [Note 5]";"1"
"Total";"3"
"Builders: other";"1"
"NZB";"1"
"ʑi";"1"
"World achievements";"1"
"TSIG";"1"
"Haiku";"1"
"Meta tagging";"1"
"Block comment";"1"
"API / Commandline available";"1"
"Video playback";"1"
"Procedure 1";"1"
"Balancing groups [Note 4]";"1"
"Paging touch screen";"1"
"Web framework support";"1"
"MySQL";"3"
"Teamwork/repository";"1"
"Formats total #";"1"
"WMA";"2"
"2007[159]";"1"
"Media synchronisation";"1"
"Write-back";"1"
".mobi";"2"
"Stereo";"3"
"Shared Database";"1"
"WMC";"1"
"Client name";"3"
"Most recent update";"1"
"Fukushima Daiichi";"1"
"Checksum verification";"1"
"VOX Music Cloud";"1"
"PayPal Payflow Link";"1"
"Data Execution Prevention";"1"
"Offline shrink";"1"
"WMS";"2"
"First public release date";"15"
"included chess engine(s)";"1"
"PayPal Standard";"1"
"pʰ";"1"
"WMV";"3"
"RFC 5546 iCal iTIP(Group Scheduling)";"1"
"sparc64";"1"
"Satellite";"2"
"English version (traditional)";"1"
"Notification";"2"
"FLV";"3"
"ACER";"1"
"HAMMER";"1"
"Forward engineering";"2"
"(lb)";"1"
"Supported architectures";"2"
"Password complexity rules2";"1"
"m̩";"1"
"PA-RISC";"1"
"Printing";"1"
"Perspective correction lenses";"1"
"OPDS catalog";"2"
"FreeBSD, NetBSD, OpenBSD";"1"
"Back end";"2"
"2011[163]";"1"
"CalDAV Scheduling";"1"
"File system";"8"
"Enable/Disable sleep mode";"1"
"Country of origin";"10"
"Merge";"2"
"Searching";"1"
"Supported Devices";"1"
"macOS (Intel/PPC)";"1"
"Multiple volumes";"1"
"Categorized downloads";"1"
"User Support";"1"
"Supported OS (without emulation)";"1"
"Group, channel or conference support";"1"
"Data compression";"1"
"Read value";"1"
"Public key authentication";"1"
"WPA";"2"
"Base index";"1"
"Focus points";"1"
"Free to use";"1"
"Vehicle";"2"
"USB Content Management";"1"
"Speed (mph)";"2"
"Development status";"2"
"RFC 4324 iCal CAP";"1"
"Human-readable?";"1"
"Lexer algorithm";"1"
"Dataset name";"1"
"ACID";"1"
"FOT";"1"
"Virtual Private Network (VPN)[c]";"1"
"Algorithm";"4"
"Many-to-Many";"1"
"Membership discounts";"1"
"Monaural beats";"1"
"State";"3"
"Accuracy (CEP)";"1"
"Bootable";"1"
"External";"1"
"Notetaking software";"1"
"License pricing";"1"
"tʰ";"1"
"uppercase(string) returns string";"1"
"Propagate deletes";"2"
"Command name completion";"1"
"Patch application";"1"
"Show in-line changes";"1"
"Image view with zoom/pan";"1"
"Size of device";"5"
"Configurability";"1"
"AVTCP";"1"
"Icon view";"1"
"Ratio between the release due to the bomb and the Chernobyl accident";"1"
"Mass (kg)";"2"
"Created by";"2"
"Control point limit";"1"
"List databases";"2"
"Microsoft Office (.doc, .xls) support";"1"
"Batch scripts";"1"
"High-Performance/ High-Throughput Computing";"1"
"Refined searches [D 7]";"1"
"Pluginable";"1"
"The Lord's Prayer in Ido";"1"
"Userspace protection";"1"
"Cost Models";"1"
"Base elevation (feet)";"1"
"Directives [Note 1]";"1"
"Graphical smileys";"1"
"DNSBL";"1"
"Apple";"1"
"ODBC";"1"
"Neutral tone (0)";"1"
"Supplemental Data [176]";"1"
"XHTML";"1"
"Binary?";"1"
"Blobs and Clobs";"1"
"Implementation language";"1"
"Fisheye Stereo for Fulldome";"1"
"Bookmarks";"3"
"License";"149"
"General linear model";"1"
"Tabbed windows";"1"
"Parallel job";"1"
"CRC-32 (IEEE)";"1"
"easy to view all document labels of same type document";"1"
"FSB";"1"
"Price in USD";"1"
"Speed relative to host OS";"1"
"RSA[34]";"1"
"Bug tracking";"1"
"secp192r1 prime192v1 NIST P-192 (19)[81]";"1"
"StuffIt";"1"
"Detect rename";"2"
"Remote Access/Control";"1"
"asx, wax, wvx";"1"
"Table support";"1"
"Network file client";"1"
"Colors";"1"
"amCharts";"1"
